"SampleID","S.stat","ind.station","BQI2009","sensitivitylistname","HELCOM_subbasin","STATN","Lat","Lon","WADEP","MYEAR","Date"
"2255589",11,171.526586620926,5.85570192105222,"ES_SWE","Eastern Gotland Basin","GO 14",57.35113,18.94248,36.5,2016,"2016-05-18T00:00:00"
"2255590",5,48.885077186964,4.31411776036345,"ES_SWE","Eastern Gotland Basin","GO 3",57.20875,18.88263,51,2016,"2016-05-18T00:00:00"
"2255591",6,24.0137221269297,4.54649255934362,"ES_SWE","Eastern Gotland Basin","GO 4",57.27225,18.944,54,2016,"2016-05-18T00:00:00"
"2255592",9,307.032590051458,5.70741493823604,"ES_SWE","Eastern Gotland Basin","GO 5",57.43348,19.02337,30,2016,"2016-05-18T00:00:00"
"2255593",8,415.951972555746,5.73372558448917,"ES_SWE","Eastern Gotland Basin","GO 6",57.30927,18.79068,16,2016,"2016-05-18T00:00:00"
"2255594",12,146.411483253589,7.73514733383246,"ES_SWE","Arkona Basin","GT 10",55.23337,13.33355,41,2016,"2016-05-16T00:00:00"
"2255595",11,124.401913875598,7.61593249611315,"ES_SWE","Arkona Basin","GT 8",55.25002,13.5,40.5,2016,"2016-05-16T00:00:00"
"2255596",7,124.356775300172,6.64759399796197,"ES_SWE","Eastern Gotland Basin","H128",57.16668,18.78335,36.5,2016,"2016-05-18T00:00:00"
"2255597",3,53.1732418524871,3.34118505749496,"ES_SWE","Western Gotland Basin","HAE 12",58.47065,17.4267,57,2016,"2016-05-12T00:00:00"
"2255598",8,102.915951972556,6.31086166313718,"ES_SWE","Western Gotland Basin","HAE 13",58.51462,17.27258,31.5,2016,"2016-05-12T00:00:00"
"2255599",4,38.5934819897084,3.3852049717585,"ES_SWE","Western Gotland Basin","HAE 24",58.48683,17.43568,55,2016,"2016-05-12T00:00:00"
"2255600",7,90.0514579759863,6.05180568063735,"ES_SWE","Western Gotland Basin","HAE 25",58.51102,17.40752,43,2016,"2016-05-12T00:00:00"
"2255601",5,75.4716981132076,4.37881125655509,"ES_SWE","Western Gotland Basin","HAE 26",58.53365,17.2928,30,2016,"2016-05-12T00:00:00"
"2255602",6,65.180102915952,4.92910170521819,"ES_SWE","Western Gotland Basin","HAE 27",58.49078,17.3994,35.5,2016,"2016-05-12T00:00:00"
"2255603",8,162.95025728988,8.39805198175357,"ES_SWE","Western Gotland Basin","HAE 28",58.47578,17.35987,43,2016,"2016-05-12T00:00:00"
"2255604",6,109.777015437393,5.32495626223651,"ES_SWE","Western Gotland Basin","HAE 29",58.54607,17.36788,40,2016,"2016-05-12T00:00:00"
"2255605",8,88.336192109777,5.19683319050977,"ES_SWE","Western Gotland Basin","HK 15B",58.54895,17.2902,28.5,2016,"2016-05-12T00:00:00"
"2255606",7,99.4854202401372,6.49620870292754,"ES_SWE","Western Gotland Basin","HK 7",58.53097,17.2219,46,2016,"2016-05-12T00:00:00"
"2255607",12,214.354066985646,7.52409632010368,"ES_SWE","Arkona Basin","I_1",55.2248,13.2667,40.5,2016,"2016-05-16T00:00:00"
"2255608",16,417.224880382775,10.912285536415,"ES_SWE","Arkona Basin","I_2",55.12388,13.26143,39,2016,"2016-05-16T00:00:00"
"2255609",6,140.66985645933,4.69905625102453,"ES_SWE","Western Gotland Basin","MYS 1",59.03937,18.2051,23,2016,"2016-05-20T00:00:00"
"2255610",6,59.3301435406699,7.93499376152678,"ES_SWE","Western Gotland Basin","MYS 2",58.99597,18.32303,34,2016,"2016-05-20T00:00:00"
"2255611",5,58.3732057416268,9.38610237479417,"ES_SWE","Western Gotland Basin","MYS 3",58.98115,18.2345,45,2016,"2016-05-20T00:00:00"
"2255612",10,111.961722488038,7.2755290878497,"ES_SWE","Western Gotland Basin","MYS 4",58.9572,18.22185,18,2016,"2016-05-20T00:00:00"
"2255613",5,93.7799043062201,4.00818285754363,"ES_SWE","Western Gotland Basin","MYS 5",58.93715,18.16082,32,2016,"2016-05-20T00:00:00"
"2255614",6,57.4162679425837,8.8921723653558,"ES_SWE","Western Gotland Basin","MYS 6",58.91937,18.07757,44,2016,"2016-05-20T00:00:00"
"2255615",2,1.91387559808612,0.396225263435013,"ES_SWE","Western Gotland Basin","MYS 7",58.94268,18.03963,32,2016,"2016-05-20T00:00:00"
"2255616",3,70.8133971291866,6.15548870906468,"ES_SWE","Western Gotland Basin","MYS 93",59.03498,18.28333,45,2016,"2016-05-20T00:00:00"
"2255617",7,21.0526315789474,7.5188391938111,"ES_SWE","Western Gotland Basin","MYS 94",58.88332,18.05003,39,2016,"2016-05-20T00:00:00"
"2255618",8,88.9952153110048,10.5698662739666,"ES_SWE","Western Gotland Basin","MYS 95",58.89998,18.0167,56,2016,"2016-05-20T00:00:00"
"2255619",9,101.200686106346,5.20021688720712,"ES_SWE","Western Gotland Basin","OLE 10",57.07595,17.09193,34,2016,"2016-05-14T00:00:00"
"2255620",11,193.825042881647,5.79920292033555,"ES_SWE","Western Gotland Basin","OLE 1",57.22182,17.23188,47,2016,"2016-05-14T00:00:00"
"2255621",6,122.641509433962,4.72125114461816,"ES_SWE","Western Gotland Basin","OLE 2",57.17612,17.19832,44.5,2016,"2016-05-14T00:00:00"
